pkMemberMembershipID,dDateEntered,dTimeEntered,fkEmployeeID,fkMemberID,tCycle,nCycleAmount,bVisitsRestriction,nVisitsAllowed,bDaysRestriction,tDaysAllowed,bTimesRestriction,tTimesAllowed,dStartDate,dEndDate,cMembershipPrice,cEnrollmentFee,tDiscount,tDiscountReason,cTotalCharged,bActive,nCierre,tRenew,bPaid,cSalesTax,tMembershipName,dFrozenDate
58,"03/13/26 00:00:00","12/30/99 07:04:04","1001","1054","MONTHS",1,0,0,0,,0,,"03/13/26 00:00:00","04/13/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
59,"03/13/26 00:00:00","12/30/99 07:07:16","1001","1055","MONTHS",1,0,0,0,,0,,"03/13/26 00:00:00","04/13/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",1,0.0000,"MENSUALIDAD",
60,"03/13/26 00:00:00","12/30/99 07:10:22","1001","1056","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
61,"03/13/26 00:00:00","12/30/99 07:45:06","1001","1057","MONTHS",1,0,0,0,,0,,"03/13/26 00:00:00","04/13/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
62,"03/13/26 00:00:00","12/30/99 08:59:48","1001","1058","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
63,"03/13/26 00:00:00","12/30/99 09:02:48","1001","1059","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
64,"03/13/26 00:00:00","12/30/99 14:33:46","1001","1060","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",980.0000,0.0000,"-$0",,980.0000,1,1,"0",0,0.0000,"PREVENTA 980",
65,"03/13/26 00:00:00","12/30/99 18:03:49","1001","1061","MONTHS",1,0,0,0,,0,,"03/13/26 00:00:00","04/13/26 00:00:00",1100.0000,400.0000,"-$0",,1500.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
66,"03/13/26 00:00:00","12/30/99 18:06:12","1001","1062","MONTHS",1,0,0,0,,0,,"03/13/26 00:00:00","04/13/26 00:00:00",980.0000,0.0000,"-$0",,980.0000,1,1,"0",0,0.0000,"PREVENTA 980",
67,"03/14/26 00:00:00","12/30/99 08:02:15","1001","1063","MONTHS",1,0,0,0,,0,,"03/09/26 00:00:00","04/09/26 00:00:00",1100.0000,0.0000,"-$0",,1100.0000,1,1,"0",0,0.0000,"MENSUALIDAD",
